458,7253654,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
320,7450604,China Construction Bank (Brasil) Banco Múltiplo S/A
189,7512441,"HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS                        "
105,7652226,"Lecca Crédito, Financiamento e Investimento S/A                                 "
76,7656500,Banco KDB do Brasil S.A.
82,7679404,BANCO TOPÁZIO S.A.
312,7693858,HSCM - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LT
195,7799277,VALOR SOCIEDADE DE CRÉDITO DIRETO S.A.
286,7853842,COOPERATIVA DE CRÉDITO RURAL DE OURO   SULCREDI/OURO
93,7945233,PÓLOCRED   SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORT
391,8240446,COOPERATIVA DE CREDITO RURAL DE IBIAM - SULCREDI/IBIAM
273,8253539,Cooperativa de Crédito Rural de São Miguel do Oeste - Sulcredi/São Miguel
368,8357240,Banco CSF S.A.
290,8561701,Pagseguro Internet S.A.
259,8609934,MONEYCORP BANCO DE CÂMBIO S.A.
395,8673569,F.D'GOLD - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
364,9089356,GERENCIANET S.A.
157,9105360,ICAP do Brasil Corretora de Títulos e Valores Mobiliários Ltda.
183,9210106,SOCRED S.A. - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO P
14,9274232,STATE STREET BRASIL S.A. - BANCO COMERCIAL
130,9313766,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO               "
358,9464032,"MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO                             "
127,9512542,Codepe Corretora de Valores e Câmbio S.A.
79,9516419,Banco Original do Agronegócio S.A.
340,9554480,Super Pagamentos e Administração de Meios Eletrônicos S.A.
81,10264663,BancoSeguro S.A.
133,10398952,CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E
323,10573521,MERCADOPAGO.COM REPRESENTACOES LTDA.
121,10664513,Banco Agibank S.A.
83,10690848,Banco da China Brasil S.A.
138,10853017,Get Money Corretora de Câmbio S.A.
24,10866788,Banco Bandepe S.A.
384,11165756,GLOBAL FINANÇAS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO
426,11285104,"Biorc Financeira - Crédito, Financiamento e Investimento S.A.                   "
88,11476673,BANCO RANDON S.A.
